source_text,plagiarized_text,label
Researchers have discovered a new species of butterfly in the Amazon rainforest.,Scientists have found a previously unknown butterfly species in the Amazon jungle.,1
The moon orbits the Earth in approximately 27.3 days.,Our natural satellite takes around 27.3 days to complete one orbit around our planet.,1
Water is composed of two hydrogen atoms and one oxygen atom.,H2O consists of 2 hydrogen atoms and 1 oxygen atom.,1
The history of Rome dates back to 753 BC.,Rome has a long history that can be traced back to 753 BC.,1
This is a unique and original sentence.,This sentence is unique and original.,0
Artificial intelligence is reshaping industries.,AI is changing the landscape of various sectors.,0
Python is a popular programming language for data science.,Data science often relies on Python as a widely used programming language.,0
The Earth revolves around the Sun in a nearly circular orbit.,Our planet follows an almost circular path as it moves around the central star.,0
Paris is the capital of France.,France's capital city is Paris.,0
Researchers have discovered a new planet in the Milky Way.,Researchers have found a newly identified planet in the Milky Way.,1
Newton's first law states that an object at rest stays at rest.,Newton's law says an object will remain at rest unless acted upon.,1
The sun rises in the east.,The sun appears to rise from the eastern horizon.,1
Albert Einstein developed the theory of relativity.,Albert Einstein is known for creating the theory of relativity.,1
Mount Everest is the tallest mountain on Earth.,Mount Everest is the highest peak in the world.,1
Shakespeare wrote many famous plays and sonnets.,Shakespeare authored numerous renowned plays and sonnets.,1
The Great Wall of China is visible from space.,The Great Wall of China can supposedly be seen from space.,1
Thomas Edison invented the electric light bulb.,Thomas Edison is credited with the invention of the light bulb.,1
The Amazon rainforest is home to diverse wildlife.,The Amazon jungle supports a vast variety of wildlife species.,1
The capital city of Japan is Tokyo.,Tokyo is the capital of Japan.,0
The human heart has four chambers.,The heart of a human is made up of four chambers.,1
Rome was not built in a day.,The saying goes that Rome wasn't built in just one day.,1
Bananas are rich in potassium.,Potassium is abundant in bananas.,1
The Earth's atmosphere is composed mainly of nitrogen and oxygen.,Nitrogen and oxygen make up the majority of Earth's atmosphere.,1
Oxygen is essential for human survival.,Humans need oxygen to survive.,1
Neil Armstrong was the first person to walk on the moon.,Neil Armstrong became the first man to step on the moon.,1
The Pacific Ocean is the largest ocean on Earth.,Earth's biggest ocean is the Pacific Ocean.,1
A triangle has three sides.,A three-sided shape is called a triangle.,1
The process of photosynthesis allows plants to make food.,Photosynthesis helps plants produce their own food.,1
Christopher Columbus discovered America in 1492.,Columbus reached America in the year 1492.,1
